id,title,score,members,demographic,tags
67,2001 Nights,7.66,6390.0,Seinen,"Drama, Sci-Fi, Space"
68,3.3.7 Byooshi!!,7.08,2680.0,Shounen,"Comedy, Drama, Romance, Ecchi"
69,"""Suki"" to Ienai.",6.72,5767.0,Shoujo,Romance
70,Ubel Blatt,7.58,62009.0,Seinen,"Action, Adventure, Fantasy"
71,Absolute Boyfriend,7.66,38767.0,Shoujo,"Comedy, Drama, Romance, Sci-Fi, School"
72,Magical Shopping Arcade Abenobashi,6.53,2233.0,Seinen,"Adventure, Comedy, Fantasy, Ecchi, Isekai"
73,Tenjho Tenge,7.23,31121.0,Seinen,"Action, Drama, Romance, Supernatural, Ecchi, Martial Arts, School"
74,Air Gear,7.78,87834.0,Shounen,"Action, Award Winning, Supernatural, Ecchi, School"
75,Ai yori Aoshi,7.52,14043.0,Seinen,"Comedy, Drama, Romance, Ecchi, Harem"
76,Baby & Me,7.67,2828.0,Shoujo,"Award Winning, Comedy, Drama, Slice of Life, Childcare"
77,Alice 19th,7.33,16518.0,Shoujo,"Comedy, Drama, Fantasy, Romance, Supernatural, Psychological, School"
78,Alichino,7.02,5280.0,Shoujo,"Fantasy, Supernatural"
79,Red River,8.27,26568.0,Shoujo,"Action, Adventure, Award Winning, Drama, Fantasy, Romance, Supernatural, Historical, Time Travel"
80,Angelic Layer,7.1,15745.0,Shounen,"Action, Comedy, Drama, Sci-Fi, Strategy Game"
81,Aria,8.61,44087.0,Shounen,"Sci-Fi, Slice of Life, Iyashikei"
83,Ceres: Celestial Legend,7.55,15087.0,Shoujo,"Award Winning, Drama, Fantasy, Mystery, Romance, Sci-Fi, Supernatural"
84,Fushigi Yugi,7.63,24693.0,Shoujo,"Action, Adventure, Drama, Fantasy, Romance, Historical, Isekai, Reverse Harem"
85,Azumanga Daioh,8.37,60259.0,,"Comedy, Slice of Life, CGDCT, School"
86,Time Stranger Kyoko,7.17,9790.0,Shoujo,"Adventure, Fantasy, Romance"
87,Tactics,7.32,3532.0,Shoujo,"Mystery, Supernatural, Historical, Mythology"
88,Angel/Dust,6.33,4300.0,,"Fantasy, Girls Love"
89,GALS!,7.43,4505.0,Shoujo,"Comedy, Drama, Romance, Slice of Life, School"
90,Loveless,7.6,28966.0,Josei,"Boys Love, Fantasy, Mystery"
91,Marmalade Boy,7.56,19173.0,Shoujo,"Comedy, Drama, Romance"
92,Sailor Moon,8.19,59809.0,Shoujo,"Award Winning, Drama, Fantasy, Romance, Mahou Shoujo"
93,The Candidate for Goddess,6.84,2381.0,Seinen,"Adventure, Drama, Sci-Fi, Mecha"
94,D.N. Angel,7.42,30978.0,Shoujo,"Comedy, Fantasy, Romance, Supernatural"
95,Lagoon Engine,6.93,1086.0,Shoujo,"Action, Comedy, Supernatural"
96,Lagoon Engine Einsatz,6.82,764.0,,"Action, Adventure, Fantasy, Sci-Fi, Supernatural"
97,DearS,7.12,11755.0,Shounen,"Comedy, Romance, Sci-Fi, Ecchi"
98,Rozen Maiden,7.75,20046.0,Seinen,"Comedy, Drama, Supernatural"
99,Zombie-Loan,7.32,19428.0,Shounen,"Action, Adventure, Comedy, Drama, Horror, Supernatural"
100,Prism Palette,6.17,717.0,,"Comedy, Ecchi, School"
101,Shugo Chara!,7.71,40880.0,Shoujo,"Award Winning, Comedy, Romance, Supernatural, Mahou Shoujo, School"
102,Fruits Basket,8.53,150767.0,Shoujo,"Award Winning, Drama, Romance, Supernatural, Love Polygon, School"
103,Never Give Up!,7.37,3137.0,Shoujo,"Comedy, Romance, Slice of Life, Showbiz"
104,Yotsuba&!,8.91,175963.0,,"Award Winning, Comedy, Slice of Life, Childcare, Iyashikei"
105,Kekkaishi,7.98,32789.0,Shounen,"Action, Adventure, Award Winning, Supernatural, Mythology"
106,Cardcaptor Sakura,8.36,69574.0,Shoujo,"Adventure, Award Winning, Comedy, Fantasy, Romance, Mahou Shoujo"
107,Chobits,7.78,73088.0,Seinen,"Comedy, Romance, Sci-Fi, Ecchi, Psychological"
108,Legal Drug,7.35,12999.0,Shoujo,"Comedy, Mystery, Supernatural"
109,Wish,7.41,14783.0,Shoujo,"Fantasy, Romance, Supernatural"
110,A.I. Love you,6.93,7460.0,Shounen,"Comedy, Romance, Sci-Fi, Ecchi, Harem, School"
111,Mahoromatic,7.38,4128.0,Seinen,"Action, Comedy, Romance, Sci-Fi, Ecchi"
112,The Legend of Chun Hyang,6.88,3861.0,Josei,"Action, Adventure, Fantasy, Romance, Supernatural, Historical"
113,Clover,7.5,18857.0,Shoujo,"Drama, Fantasy, Romance, Sci-Fi"
114,Elemental Gelade,7.46,9774.0,Shounen,"Action, Adventure, Fantasy, Romance"
115,Erementar Gerade: Flag of Bluesky,7.05,1838.0,Shounen,"Action, Adventure, Fantasy, Romance"
116,.hack//G.U.+,7.29,5718.0,,"Action, Fantasy, Sci-Fi, Video Game"
117,.hack//Legend of the Twilight,7.02,16922.0,,"Adventure, Comedy, Fantasy, Sci-Fi, Video Game"
118,Kobato.,7.91,23546.0,,"Adventure, Fantasy, Romance, Iyashikei"
119,Magic Knight Rayearth,7.58,22055.0,Shoujo,"Adventure, Comedy, Fantasy, Isekai, Mahou Shoujo"
120,Maburaho,7.06,939.0,,"Comedy, Drama, Romance, Harem, School"
121,Hotel Africa,,320.0,,"Adventure, Romance, Slice of Life"
122,Angel Cup,6.77,459.0,,"Comedy, Sports, Team Sports"
123,Angel Nest,6.53,747.0,Josei,"Drama, Supernatural"
124,Aqua,7.91,21023.0,Shoujo,"Sci-Fi, Slice of Life, Iyashikei"
125,Arcana,6.87,1945.0,,Fantasy
126,Archlord,6.73,2295.0,,"Action, Adventure, Fantasy, Romance"
127,Ark Angels,6.33,1128.0,,"Fantasy, Romance, Supernatural, Crossdressing, School"
128,Pet Shop of Horrors,8.22,37455.0,Josei,"Comedy, Fantasy, Horror, Mystery, Supernatural"
129,Arm of Kannon,6.28,1129.0,Seinen,"Fantasy, Horror, Sci-Fi"
130,Clamp School Detectives,6.82,5821.0,Shoujo,"Comedy, Mystery"
131,The Aromatic Bitters,6.59,543.0,Josei,"Drama, Romance"
132,B'T X,6.66,1482.0,Shounen,"Action, Adventure, Drama, Sci-Fi, Mecha, Military"
133,Tokyo Babylon,7.95,24186.0,Shoujo,"Drama, Fantasy, Supernatural"
134,MÄR,7.35,17076.0,Shounen,"Action, Comedy, Fantasy, Isekai"
135,MÄR Omega,6.03,3662.0,Shounen,"Action, Adventure, Comedy, Fantasy"
136,Flame of Recca,7.7,16199.0,Shounen,"Action, Adventure, Comedy, Fantasy, Romance"
137,Read or Die,6.97,5631.0,Seinen,"Action, Comedy, Mystery, Adult Cast, Super Power"
138,Baby Birth,6.06,738.0,,"Adventure, Fantasy"
139,Ba_ku,6.92,1015.0,Shoujo,"Fantasy, Supernatural"
140,Sorcerer Hunters,7.0,2031.0,Shounen,"Comedy, Fantasy, Ecchi"
141,Battle Club,6.46,4248.0,Seinen,"Action, Ecchi, Martial Arts"
142,Battle Royale,7.84,76339.0,Seinen,"Action, Suspense, Gore, Psychological, Survival"
143,Beautiful People,7.14,4617.0,Josei,"Drama, Psychological"
144,Because I'm the Goddess,6.73,1629.0,Seinen,"Adventure, Comedy, Supernatural, Ecchi"
145,BECK: Mongolian Chop Squad,8.69,91249.0,Shounen,"Award Winning, Drama, Romance, Music"
146,Between the Sheets,6.3,1145.0,Josei,"Drama, Romance"
147,Beyond the Beyond,7.27,1169.0,Shounen,"Adventure, Drama, Fantasy"
148,Bird Kiss,6.73,1023.0,,"Comedy, Romance"
149,Blame!,8.29,177328.0,Seinen,"Action, Drama, Horror, Sci-Fi, Psychological"
150,Blazin' Barrels,6.78,551.0,,"Action, Adventure, Comedy, Fantasy, Sci-Fi"
151,Blood Sucker: Legend of Zipangu,6.7,1426.0,Seinen,"Action, Fantasy, Horror, Supernatural, Vampire"
152,Boys Be...,6.5,1766.0,Shounen,"Comedy, Drama, Romance, School"
153,Boys Be II,6.92,580.0,Shounen,"Comedy, Drama, Romance"
155,Brain Powered,6.23,1288.0,Shounen,"Adventure, Drama, Sci-Fi, Mecha"
156,Millennium Snow,7.58,17091.0,Shoujo,"Comedy, Drama, Romance, Supernatural, Vampire"
157,Nowadays,7.54,13742.0,Shoujo,"Comedy, Drama, Romance"
158,Ghost Hunt,8.22,17505.0,Shoujo,"Drama, Horror, Mystery, Romance, Supernatural, Psychological"
159,Brave Story: Shinsetsu,6.78,1489.0,Seinen,"Action, Fantasy, Isekai"
160,School Rumble,7.97,31556.0,Shounen,"Comedy, Romance, Gag Humor, Love Polygon, School"
161,Brigadoon,6.64,597.0,Shounen,"Action, Comedy, Sci-Fi"
162,Bus Gamer,7.24,2491.0,Shoujo,"Action, Drama, Mystery"
163,Calling You,7.28,2723.0,Shoujo,Drama
164,Nosatsu Junkie,7.92,13446.0,Shoujo,"Comedy, Romance, Crossdressing, School, Showbiz"
165,Cherry Juice,7.2,11362.0,Shoujo,"Comedy, Romance, School"
166,Psychic Power Nanaki,7.07,962.0,Shoujo,"Action, Adventure, Comedy, Mystery, Supernatural"
167,Chronicles of the Cursed Sword,6.96,2339.0,Shounen,"Action, Adventure, Drama, Fantasy, Martial Arts"
168,Chrono Code,,309.0,,"Action, Adventure, Fantasy, Sci-Fi"
169,Comic Party,6.85,2421.0,Seinen,"Comedy, Harem, Otaku Culture"
170,Confidential Confessions,7.67,6336.0,Shoujo,"Drama, Romance, Psychological, School"
171,Confidential Confessions: Deai,7.25,1205.0,Shoujo,Drama
172,Corrector Yui,6.46,843.0,,"Comedy, Fantasy, Sci-Fi, Strategy Game"
173,Cowboy Bebop,7.16,18401.0,Shoujo,"Action, Adventure, Sci-Fi, Adult Cast"
174,Cowboy Bebop: Shooting Star,6.71,6103.0,Shoujo,"Action, Adventure, Sci-Fi, Adult Cast"
175,Touhou Sangetsusei: Eastern and Little Nature Deity,6.94,5363.0,,"Comedy, Fantasy"
176,Chocotto Sister,7.07,3826.0,Seinen,"Comedy, Romance, Slice of Life, Ecchi"
177,Tsuiteru Kanojo,6.94,1602.0,Shounen,"Comedy, Drama, Romance, Supernatural, Ecchi"
178,Living for Tomorrow,7.31,4245.0,,"Boys Love, Drama, Romance, Erotica"
179,Color,7.18,3308.0,,"Boys Love, Romance, Erotica, School"
180,Zurui Otoko,6.21,519.0,,"Boys Love, Erotica"
181,Reiko the Zombie Shop,6.93,1824.0,Josei,Horror
182,Zombie Hunter,6.71,3504.0,,"Action, Horror"
183,Zoku Shishunki Miman Okotowari,6.91,702.0,Shoujo,"Comedy, Romance"
184,Shishunki Miman Okotowari,6.98,1431.0,Shoujo,"Comedy, Drama, Romance"
185,Shishunki Miman Okotowari Kanketsuhen,6.96,982.0,Shoujo,"Drama, Romance"
186,Zoku - Kindan no Koi wo Shiyou,7.36,2977.0,Josei,"Fantasy, Romance"
187,Kindan no Koi wo Shiyou,7.27,4910.0,Josei,"Drama, Fantasy, Romance"
188,Kindan no Koi de Ikou,7.77,4301.0,Josei,"Drama, Fantasy, Romance"
190,Zodiac P.I.,7.36,4750.0,Shoujo,"Action, Fantasy, Mystery, Romance, Supernatural"
191,Zipang,7.6,3775.0,Seinen,"Action, Award Winning, Drama, Sci-Fi, Adult Cast, Historical, Military, Time Travel"
192,Zip-Up Boy,5.8,574.0,,"Boys Love, Drama, Erotica"
193,Zig☆Zag,6.99,979.0,Shoujo,"Comedy, Drama, Romance, School"
194,"Mai, The Psychic Girl",6.71,2063.0,Shounen,"Action, Supernatural"
195,Zig x Zag,6.68,424.0,Shoujo,"Drama, Sports"
196,Zeus,6.17,1321.0,,"Action, Boys Love, Fantasy, Psychological"
197,Zettai Unmei Houteishiki,7.07,1818.0,,"Boys Love, Erotica"
198,Gravity Eyes,7.61,2051.0,,"Boys Love, Erotica"
199,Ningyo Series,7.41,8755.0,Shounen,"Horror, Romance, Supernatural"
200,A Gentleman's Kiss,7.52,1659.0,,"Boys Love, Drama, Erotica"
201,Mobile Police Patlabor,7.62,3138.0,Shounen,"Action, Award Winning, Comedy, Drama, Sci-Fi, Mecha"
202,9th Sleep,6.61,1087.0,,"Boys Love, Fantasy"
203,Crushing Love,6.72,1727.0,,"Boys Love, Drama, Romance, Erotica"
204,Words of Devotion,7.04,1501.0,,"Boys Love, Erotica"
205,Sweet Whisper,6.9,1605.0,,"Boys Love, Erotica"
206,Mobile Suit Gundam 0079,7.24,1260.0,,"Sci-Fi, Mecha, Military"
207,"Alcohol, Shirt, and Kiss",6.87,877.0,,"Boys Love, Erotica"
208,Almost Crying,6.65,686.0,,Boys Love
209,Antique Bakery,7.62,4802.0,Shoujo,"Award Winning, Comedy, Slice of Life"
211,In the Walnut,6.96,670.0,,"Boys Love, Drama, Romance, Erotica"
212,Beyond My Touch,7.08,1409.0,,"Boys Love, Drama"
213,Sweet Revolution,6.56,834.0,,"Boys Love, Fantasy, School"
214,Mobile Suit Gundam: The Origin,8.5,18753.0,Shounen,"Action, Award Winning, Drama, Sci-Fi, Mecha, Military, Space"
215,Pixy Junket,,158.0,,Fantasy
216,RahXephon,6.34,2279.0,Seinen,"Action, Drama, Sci-Fi, Mecha"
217,My Only King,6.56,850.0,,"Boys Love, Erotica"
218,Our Kingdom,7.45,2002.0,,"Boys Love, Erotica"
219,Alive: The Final Evolution,7.77,27056.0,Shounen,"Adventure, Sci-Fi, Supernatural, Survival"
220,Adventura,7.33,1000.0,Shounen,"Adventure, Fantasy, School"
221,Basilisk: The Kouga Ninja Scrolls,7.44,18425.0,Seinen,"Action, Award Winning, Drama, Romance, Historical, Martial Arts"
222,Le Chevalier D'Eon,7.04,2642.0,Seinen,"Action, Mystery, Supernatural, Crossdressing, Historical"
223,Café Kichijoji de,7.22,1894.0,Shoujo,"Boys Love, Comedy, Supernatural"
224,Camera Camera Camera,6.75,445.0,,"Boys Love, Comedy, Slice of Life"
225,Glass Sky,6.68,842.0,,"Boys Love, Comedy, Drama, Erotica"
226,Spring Fever,6.93,659.0,,"Boys Love, Erotica"
227,Laugh Under the Sun,6.97,543.0,,"Boys Love, Comedy, Erotica"
228,Silent Möbius,7.13,1668.0,,"Action, Drama, Sci-Fi, Supernatural"
229,Dragon Head,7.15,28509.0,Seinen,"Action, Award Winning, Drama, Horror, Psychological, Survival"
230,The Day I Become a Butterfly,7.56,3908.0,,"Boys Love, Romance"
233,Clan of the Nakagamis,6.87,789.0,,"Boys Love, Comedy, Romance, Erotica"
234,Close the Last Door,7.57,2694.0,,"Boys Love, Comedy, Drama, Erotica, Love Polygon"
235,Open The Door Through Your Heart,7.06,1261.0,,"Boys Love, Erotica"
236,Cute Beast,7.12,2144.0,,"Boys Love, Erotica"
237,Dear Myself,7.14,2689.0,,Boys Love
238,Dear Myself: World's End,6.97,1329.0,,Boys Love
239,Desire,7.18,2511.0,,"Boys Love, Erotica, School"
240,Don't Say Anymore Darling,6.84,626.0,,"Boys Love, Sci-Fi, Slice of Life, Erotica"
241,Same Cell Organism,7.36,3573.0,,Boys Love
242,Duetto,6.45,697.0,,"Boys Love, Erotica"
243,Steam Detectives,6.63,694.0,Shounen,"Adventure, Mystery, Detective, Mecha"
244,Enchanter,7.4,2673.0,Shounen,"Action, Adventure, Fantasy, Romance, Ecchi, School, Super Power"
245,Fake Fur,6.87,1321.0,,"Boys Love, Erotica"
246,Princess Princess,7.54,8320.0,Shoujo,"Boys Love, Comedy, Crossdressing, School"
247,Princess Princess Plus,7.17,1876.0,Shoujo,"Boys Love, Comedy, Crossdressing, School"
248,Family Complex,7.36,4373.0,Shoujo,"Comedy, Slice of Life"
249,The Day of Revolution,7.36,7944.0,Shoujo,"Comedy, Drama, Romance, Magical Sex Shift, School"
250,Flower of Life,7.44,1292.0,Shoujo,"Comedy, Slice of Life, School"
251,Il gatto sul G,7.47,3241.0,,"Boys Love, Drama, Romance, Erotica, Psychological"
252,Gorgeous Carat Galaxy,7.17,1011.0,,"Adventure, Drama, Mystery, Historical"
253,Tenchi Muyo! Sasami Stories,7.23,634.0,,Action
254,Alone in My King's Harem,6.96,2672.0,,"Boys Love, Romance, Erotica"
255,Hero Heel,7.48,2376.0,,"Boys Love, Erotica"
256,After I Win,7.3,3149.0,,"Boys Love, Drama, Romance, Erotica"
257,Hybrid Child,7.78,10473.0,,"Boys Love, Drama, Historical"
258,Ikebukuro West Gate Park,6.94,1325.0,Seinen,"Drama, Mystery, Romance, Delinquents"
259,Jazz,7.22,1417.0,,"Boys Love, Erotica"
260,Ka Shin Fuu,6.88,1220.0,,"Boys Love, Drama, Erotica"
261,Manic Love,7.0,899.0,,"Boys Love, Erotica, Love Polygon"
262,Garden Dreams,7.02,472.0,Shoujo,"Drama, Romance, Historical"
263,Our Everlasting,7.34,1470.0,,"Boys Love, Drama, Romance, Erotica"
264,Can't Win With You!,6.87,980.0,,"Boys Love, Comedy, Erotica, School"
265,Invisible Love,7.09,1848.0,,"Boys Love, Erotica"
266,Star,6.84,446.0,,"Boys Love, Romance, Erotica"
267,Hellsing,8.28,105380.0,Seinen,"Action, Horror, Supernatural, Adult Cast, Gore, Historical, Vampire"
268,Crazy Love Story,6.64,527.0,,"Drama, Romance, Psychological"
269,Crescent Moon,7.23,3144.0,Shoujo,"Comedy, Fantasy, Romance"
270,Culdcept,6.92,904.0,Seinen,"Action, Adventure, Fantasy"
271,Mink,6.64,2244.0,Shoujo,"Fantasy, Romance"
272,Deus Vitae,5.65,775.0,Seinen,"Action, Sci-Fi"
273,"Deja-vu: Spring, Summer, Fall, Winter",6.97,726.0,,"Drama, Fantasy, Romance, Sci-Fi, Historical"
274,Daphne in the Brilliant Blue,6.24,695.0,,"Action, Adventure, Comedy, Sci-Fi"
275,Fallen Moon,6.29,1560.0,,Boys Love
276,Dead End,6.5,2546.0,Seinen,"Action, Drama, Horror, Psychological"
277,Demon Diary,7.42,7676.0,Shoujo,"Action, Adventure, Boys Love, Comedy, Drama, Fantasy"
278,King of Hell,7.61,9901.0,,"Action, Adventure, Fantasy, Supernatural, Martial Arts"
279,Kissing,7.18,1723.0,,"Boys Love, Erotica"
280,Kurashina Sensei's Passion,,267.0,,Boys Love
281,La Esperança,7.19,1853.0,Shoujo,"Boys Love, Drama, School"
282,La Vie en Rose,6.63,885.0,,"Boys Love, Erotica"
283,The Big O,7.02,1898.0,,Action
284,Little Butterfly,8.04,8034.0,,"Boys Love, Drama, Erotica, School"
285,Love Recipe,7.22,1322.0,,"Boys Love, Comedy, Erotica"
286,Not Enough Time,6.98,1657.0,,"Boys Love, Erotica"
287,Devil May Cry 3,7.08,6449.0,,"Action, Adventure"
288,Othello,7.0,2508.0,,"Boys Love, Erotica"
289,Agmaui Sinbu,5.55,859.0,Shoujo,"Comedy, Fantasy, Supernatural"
290,Passion,7.14,999.0,,"Boys Love, Erotica"
291,PICNIC,7.07,768.0,,"Boys Love, Comedy, Drama, Romance, Erotica"
292,Prince Charming,6.87,674.0,,"Boys Love, Erotica"
293,Freefall Romance,7.18,1551.0,,"Boys Love, Erotica"
294,Seven,7.01,1067.0,,"Boys Love, Romance"
295,Angel/Dust Neo,6.13,1996.0,,"Fantasy, Girls Love"
296,Anne Freaks,6.62,7494.0,,"Mystery, Psychological"
297,Diabolo,6.68,1606.0,Shoujo,"Horror, Supernatural"
298,DOLL,7.66,2581.0,Josei,"Drama, Sci-Fi, Psychological"
299,Apocalypse Meow,7.0,3007.0,,"Drama, Anthropomorphic, Historical, Military"
300,Hands Off!: Don't Call Us Angels,6.67,475.0,Shoujo,"Supernatural, Psychological"
301,Dragon Hunter,6.69,634.0,Shounen,"Action, Adventure, Fantasy"
302,Tuxedo Gin,7.4,1971.0,Shounen,"Comedy, Romance, Supernatural, Reincarnation"
303,Dragon Knights,7.18,2079.0,Shoujo,"Action, Adventure, Comedy, Drama, Fantasy"
304,Lum*Urusei Yatsura,7.74,14871.0,Shounen,"Award Winning, Comedy, Romance, Sci-Fi"
305,Dragon Voice,7.33,1227.0,Shounen,Music
306,Dream Saga,7.06,2507.0,Shoujo,"Adventure, Comedy, Fantasy"
307,Duklyon: CLAMP School Defenders,6.44,2815.0,Shounen,"Action, Comedy, Supernatural"
308,Flower of Eden,7.36,3804.0,Shoujo,"Drama, Romance, Love Polygon"
309,Eerie Queerie!,7.01,2971.0,Shoujo,"Boys Love, Comedy, Romance, Supernatural"
311,Eternity,6.32,408.0,,"Action, Comedy, Drama"
312,Evil's Return,5.84,1257.0,,"Action, Horror, Supernatural, Ecchi"
314,Fake,7.88,7292.0,,"Action, Boys Love, Comedy, Erotica"
315,Fever,6.75,531.0,Shoujo,"Drama, School"
316,Forbidden Dance,7.3,1977.0,Shoujo,"Drama, Romance"
317,Metamo Kiss,7.11,1800.0,Shoujo,"Comedy, Romance"
318,Manga Sutra,7.25,16129.0,Seinen,"Comedy, Romance, Slice of Life, Ecchi"
319,Gatcha Gacha,7.15,1233.0,Shoujo,Romance
320,Gakuen Alice,8.32,45250.0,Shoujo,"Comedy, Drama, Romance, Love Polygon, School, Super Power"
321,Gate Keepers,6.23,705.0,,"Adventure, Comedy, Drama, Mecha, School, Super Power"
322,Genju no Seiza,7.56,2124.0,Shoujo,"Fantasy, Horror, Mystery, Supernatural, Psychological"
323,"Galaxy Girl, Panda Boy",,224.0,,Drama
324,Little Queen,7.2,2127.0,Shoujo,"Fantasy, Romance, Mythology, School"
